User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Sleep_Hours,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours,Work_Productivity_Score,Stress_Level
83,42,Female,Professional,Android,7.8,2.1,5,21,0,9.6,5.4,5.7
84,24,Male,Freelancer,iOS,3.6,3.6,8.9,39,1,8.2,9.1,1
85,26,Female,Student,Android,6.6,2.9,10,36,3,6.2,7.9,4.7
86,41,Male,Professional,Android,6.8,4.1,6.6,34,0,8,6.5,5.9
87,18,Female,Professional,iOS,4.9,2.4,7.1,6,1,10.6,6.5,3.9
88,25,Male,Student,Android,5.7,4.2,3.7,14,2,6.4,6,5
89,41,Male,Student,iOS,6.7,2.7,6.2,39,3,4.9,6,5.3
90,28,Male,Student,iOS,6.6,0.4,8,14,0,8.4,6.2,5.2
91,34,Female,Freelancer,iOS,4,1.2,6.7,6,1,3.3,9.2,4.1
92,25,Male,Student,Android,4.6,3.3,7.8,18,2,4.9,8,3.7
93,52,Female,Professional,Android,4.6,1.9,6.2,7,2,6.1,8.4,2.6
94,52,Female,Professional,iOS,4.1,1.3,6.9,21,1,6.8,9.8,3.2
95,50,Female,Business Owner,iOS,8.8,3.1,3.9,23,1,5.3,2.7,8.8
96,22,Male,Freelancer,Android,7.3,3.2,5.8,17,1,7.2,6.8,5.6
97,59,Male,Student,Android,6.5,0.9,9.6,33,3,4.3,7.5,3.4
98,56,Male,Student,Android,5,3.1,8.2,29,1,9.1,9.8,4.2
99,58,Male,Student,Android,5.5,1.1,7.5,27,2,9,9.6,3.9
100,45,Other,Student,Android,8.2,2.1,6,31,2,11.6,5.6,5.1
101,24,Other,Student,Android,6.5,0.9,5.8,30,4,6.9,7.3,3.8
102,26,Male,Student,Android,3.1,4.2,6.9,37,1,3.1,8.9,2.5
103,25,Male,Student,Android,7.9,0.4,8,15,4,6.8,4.5,6
104,29,Female,Professional,Android,5,2.5,7.7,39,2,8.5,8.8,3.2
105,51,Female,Freelancer,Android,2.7,1.9,9.7,30,6,5.3,10,1
106,50,Female,Freelancer,iOS,5,3.3,7.3,25,1,6.3,8.4,2.4
107,40,Male,Professional,Android,4.1,0.9,6,16,0,5.2,8,3.9
108,41,Male,Professional,Android,3.1,3.6,8,14,4,5.1,9.7,2
109,54,Female,Professional,iOS,4.3,3.1,9.1,37,6,6.1,8.8,3.4
110,52,Male,Professional,Android,5.7,1.6,7.7,28,4,3.2,6.7,4.6
111,57,Female,Professional,Android,1.9,0.5,7.2,28,1,4.8,9.6,2.3
112,39,Male,Professional,iOS,6,2.4,6.4,10,1,10.7,5.9,3.8
113,44,Female,Professional,Android,4.5,1.5,6,38,1,6,8.5,3.9
114,52,Female,Student,iOS,7,2.1,6.1,30,2,3.5,4.9,5.5
115,18,Male,Professional,iOS,6.3,3.8,8.1,23,2,8.8,7.2,4.3
116,52,Male,Professional,Android,2.7,1.8,6.5,11,0,9.5,10,3.7
117,54,Female,Freelancer,Android,5.2,3.2,7.8,39,2,8,8,4
118,31,Male,Student,Android,8.3,1.3,7.8,27,4,6.4,6.1,5.9
119,20,Female,Professional,iOS,4.1,0.5,7,5,2,5.7,8.3,3.5
120,18,Male,Professional,Android,6.8,2.7,8.1,17,0,6.8,6.7,4.5
121,22,Male,Business Owner,iOS,6.5,0.9,6.9,9,2,9.2,6.2,3.8
122,43,Female,Student,Android,5.6,1.5,8.1,7,0,6,6.4,4.3
123,31,Female,Student,Android,4.2,3.7,6.3,38,0,5,9.1,3.4
124,56,Male,Student,Android,7,0.5,5.7,25,1,7.7,7.4,4.7
125,44,Male,Student,iOS,6,1.5,6.2,30,2,6.3,6.7,4.1
126,26,Female,Freelancer,Android,3.5,0.6,6.1,8,4,2.7,9,4.2
127,32,Female,Professional,iOS,3.8,4.1,5.2,26,1,5.8,9.1,4.6
128,32,Male,Professional,iOS,7.4,2,5.1,32,2,7.4,4,7.2
129,43,Male,Freelancer,iOS,5.3,0.2,7.4,25,6,10,8.9,2.7
130,59,Male,Student,Android,2.9,2.3,6.8,14,0,5.9,9.5,2.7
131,30,Female,Business Owner,Android,6.1,0.2,7.7,28,2,4.1,7.9,4.9
132,49,Female,Freelancer,Android,4.9,4.3,5.8,15,2,7.5,7.5,4.7
133,56,Male,Student,Android,4.2,3.1,6.1,24,2,4.5,8.8,1.7
134,49,Female,Professional,iOS,6,1.9,6,23,2,6.9,7.2,4.1
135,21,Male,Freelancer,Android,8.5,1.7,8.5,13,2,7.8,5,5.4
136,47,Female,Professional,Android,5.9,2.1,8.2,14,0,4.6,7.4,2.3
137,54,Male,Business Owner,Android,4.9,0.6,5.8,5,3,5.9,8,4
138,40,Female,Freelancer,iOS,3.2,1.7,7.1,9,3,3.2,9.4,1.2
139,56,Female,Freelancer,Android,4.8,2.8,6.8,18,2,9.9,7.7,3.1
140,32,Female,Student,iOS,6.2,2.8,8.8,16,1,7.8,6.3,5.4
141,60,Female,Student,Android,7.1,2,7,16,1,7.2,6.2,6
142,46,Female,Professional,Android,7.1,4.1,7.7,37,1,5,6.1,5
143,53,Female,Professional,Android,5,1.6,8.7,39,4,8.7,7.4,3.2
144,30,Male,Student,iOS,4.8,0.2,5.7,22,4,6.1,7.3,4.2
145,49,Male,Freelancer,Android,5.9,2.5,6.5,6,4,7.5,6.2,5.6
146,24,Female,Freelancer,Android,5.6,1.7,9.7,11,1,5.3,7.9,2.2
147,39,Female,Professional,Android,9.4,5.4,5.6,21,2,6.9,4.3,6
148,45,Female,Professional,Android,6.5,3.1,7.5,25,1,4.7,8.5,4.4
149,19,Male,Professional,Android,9.7,0.6,7.4,27,1,9.1,5.5,4.7
150,59,Female,Student,Android,4.1,3,5.8,14,1,7,8.5,2.4
151,23,Male,Student,Android,6.4,1.1,9.4,5,1,7.2,7.8,3.9
152,45,Male,Freelancer,Android,7.4,0.9,6.6,7,1,9.6,7,4.3
153,45,Female,Professional,Android,2.8,3,8,19,2,7.7,8.6,2.6
154,37,Male,Professional,iOS,5.1,1.3,5.3,12,2,8.9,7,4.5
155,47,Male,Professional,iOS,3.7,3.4,6.5,38,5,11.6,7.6,2.7
156,28,Female,Professional,iOS,5.9,3.1,3.1,36,1,6.3,7.9,4.5
157,45,Male,Student,Android,6.4,3.2,8.3,8,2,5.2,6.3,4.1
158,42,Female,Freelancer,Android,4.4,3.3,8.3,20,1,2,8.7,3
159,56,Female,Professional,Android,4.6,2.2,5.8,31,3,5.3,6.1,3.9
160,50,Female,Student,Android,4.9,0.2,7.6,24,2,9.4,8.5,4
161,18,Other,Student,iOS,5.9,1,6.7,37,4,6.7,8,5.3
162,44,Female,Student,Android,8.3,2.3,5.7,39,0,5.6,5.9,5.4
163,30,Female,Student,Android,8.9,3.5,6.8,38,2,8.4,3.8,9
164,58,Female,Student,Android,5.1,1.7,6.9,33,2,8,8.8,3.5
165,20,Female,Student,iOS,3.5,4.1,7.6,11,3,5.4,7.3,1.3
166,56,Male,Student,Android,6.5,2.4,5.6,21,7,8.3,4.6,6.4
167,23,Female,Professional,Android,4.3,4,7.5,17,2,1.5,8.9,3.3
168,25,Female,Student,Android,4.8,3.6,5.8,18,1,8.6,7.1,4.1
169,44,Female,Professional,Android,4.6,0.6,9.4,11,1,5.8,10,1
170,26,Female,Freelancer,Android,7.4,2,8.3,20,1,7.6,6.9,4.6
171,54,Female,Professional,Android,4.7,2.3,5.3,7,3,5.5,7.9,3.3
172,50,Female,Professional,Android,4.4,3.2,7.4,5,2,6.9,8.4,2.4
173,59,Female,Student,Android,6.4,3.4,7.6,28,3,8.5,5.8,4.4
174,41,Male,Student,iOS,4.2,3.4,6,26,3,5.9,6.3,4.3
175,32,Female,Professional,Android,5.2,1.7,10,29,1,6.1,8,3.7
176,49,Male,Business Owner,iOS,8.3,3.3,9.1,11,3,6.2,4.8,4
177,49,Other,Professional,Android,3.7,3.6,7.2,14,2,4.1,9,2.7
178,41,Female,Professional,iOS,5.7,1.2,7.7,5,1,6.6,8.4,3.6
179,58,Female,Student,Android,3.7,0.3,6.7,34,1,7.3,6.7,3.8
180,29,Other,Professional,iOS,8.5,0.6,6.4,27,0,6.8,6,6.1
181,56,Female,Professional,Android,2.5,1.7,6,6,1,7.2,9.6,1.9
182,19,Male,Student,iOS,4.8,1.8,7.2,14,2,7,10,1.6
183,20,Female,Professional,Android,7.1,3.2,5.4,38,1,8,6.7,5.6
184,54,Male,Freelancer,iOS,4.4,1.4,7.5,35,1,5.7,9.8,3.7
185,34,Male,Student,iOS,3,2,5.1,26,2,7.5,10,3.3
186,19,Male,Professional,iOS,2.1,4,7.8,19,3,6.3,10,1.4
187,19,Female,Freelancer,Android,6.4,0.9,5.6,36,3,6.6,5.6,5.5
188,45,Female,Freelancer,Android,4.8,2.1,4.8,24,3,7.4,6.9,6.4
189,40,Male,Student,Android,7.1,1.1,6.6,9,1,4.9,5.6,4.5
190,54,Male,Student,Android,5.4,0.5,5.1,15,2,4.1,7.5,4.4
191,49,Female,Business Owner,Android,4.3,3.4,8.3,20,2,8.3,9.7,1
192,50,Male,Student,Android,6.3,2.8,9.1,34,0,4.6,6,4
193,18,Male,Professional,Android,3.6,1.5,8.6,28,0,8.5,9,1.8
194,36,Female,Student,Android,6,1.4,5.3,37,0,8.5,6.9,7.1
195,19,Male,Freelancer,Android,3.8,3.6,5.2,24,5,10.1,7.5,4
196,43,Male,Student,Android,4.8,1.1,6.6,37,2,5.4,7.7,4.2
197,49,Male,Student,iOS,4.3,4.2,8.4,24,1,4.9,10,4.1
198,23,Female,Professional,iOS,7.3,2.6,7.2,5,0,6.1,6.7,5.4
199,49,Female,Student,Android,8.1,4.3,5.7,17,1,6.2,7.1,7.3
200,21,Other,Professional,Android,7.7,1.4,8,28,1,3.7,6.2,4
201,28,Female,Professional,Android,7.8,0.4,6.6,20,0,9.1,4.3,5.4
202,34,Male,Professional,Android,6.6,1.5,6.5,26,0,4.8,7.4,4.7
203,55,Male,Freelancer,iOS,4.3,3.8,7.3,34,1,7.6,10,3.5
204,41,Male,Professional,Android,5,4.3,6,5,2,8,7.5,3.2
205,22,Female,Student,Android,5.7,2.1,9.6,7,0,4,8.9,4.6
206,51,Female,Student,Android,6.4,2.8,6.2,39,2,8.7,6.8,6.9
207,23,Female,Professional,iOS,7.3,3.3,7.2,25,0,4.2,7,6
208,39,Male,Professional,iOS,5.7,2,7.2,39,3,6.4,7.8,3.7
209,28,Male,Freelancer,Android,6.5,1.5,7.9,27,2,3.5,5.6,5.3
210,33,Male,Student,Android,7.5,2.1,7.1,7,1,4.9,5.5,6.5
211,50,Female,Student,Android,5.8,3,6.9,28,2,7.2,7.6,4
212,26,Male,Professional,iOS,5.7,1.5,4.9,32,1,4.8,7.4,4
213,23,Female,Student,Android,6.2,2,4.3,36,2,4.4,6.4,6
214,33,Male,Student,iOS,5.3,2.9,8.1,33,3,6.5,8.5,2.7
215,46,Female,Freelancer,Android,6.1,3.1,6.7,37,1,6.2,7.1,4.7
216,20,Male,Student,Android,4.9,3.6,6.7,27,4,6.5,7.7,3.4
217,37,Male,Student,iOS,4.5,0.2,6.4,8,3,3.7,10,3.3
218,53,Male,Professional,Android,1.6,4.7,8.4,22,4,6.5,10,1.3
219,36,Male,Student,Android,5.9,2.4,5.6,27,2,4.7,6.8,4.7
220,43,Male,Student,Android,3.1,3.5,5.3,16,2,1,8.2,3.9
221,20,Female,Student,Android,6.7,3.2,7.4,35,1,4.4,9.2,3.8
222,36,Male,Professional,Android,4.5,1,8.9,38,3,6.7,8.7,2.3
223,37,Male,Professional,Android,6.7,2.8,6.9,20,3,7.9,6.9,4.6
224,49,Female,Student,Android,7.5,2.3,6.2,16,1,8.3,5.5,7.1
225,24,Female,Student,Android,4.7,3,6.1,21,1,6.6,6.8,3.5
226,58,Male,Professional,Android,4.8,3.2,7.7,10,1,4.1,8.3,4.1
227,50,Female,Freelancer,Android,4.2,2.9,7.7,30,0,7.9,7.9,3
228,57,Female,Business Owner,Android,3.4,2.7,9,39,0,7.8,8.6,2.1
229,56,Male,Student,Android,3.4,3.3,7.1,13,2,4.6,9.4,2
230,35,Female,Professional,Android,4.5,3.5,6.1,22,2,4.2,6.9,2.7
231,57,Male,Student,iOS,4.7,2.4,5.8,8,3,7.5,7.8,4
232,18,Male,Student,iOS,6.8,1.7,5.8,28,3,3.1,7.6,3.7
233,28,Other,Student,iOS,4.5,3.1,8.8,12,2,3.7,6.8,4.4
234,45,Male,Professional,Android,5.6,2.5,7.5,21,1,4.7,8.7,4.1
235,42,Male,Professional,Android,8.8,2.9,7.8,38,2,2.6,4.2,6.5
236,40,Other,Student,Android,8.6,3.3,8.3,30,3,8.6,7.3,5.1
237,48,Female,Business Owner,iOS,3.9,3.7,6.9,17,1,7.3,8.8,3.2
238,47,Female,Student,Android,8,1.4,6.6,19,1,5.7,7.2,4.9
239,59,Female,Student,Android,4.6,2.4,8.3,16,2,7.3,7,4.1
240,52,Female,Professional,Android,5.5,3.7,6.8,18,4,7.2,7.5,6
241,24,Female,Business Owner,iOS,5,3.2,5.7,6,1,3.6,6.6,5.1
242,33,Male,Business Owner,Android,8.1,1.9,6.5,39,1,5.3,5.3,5.9
243,43,Male,Student,iOS,8.1,1.9,7.4,22,2,3.1,4.8,6.8
244,19,Male,Student,Android,1.6,3.8,6.7,32,2,6.5,9.8,1.4
245,18,Male,Professional,Android,7.6,2.7,6.4,7,3,5.8,4,5.6
246,29,Male,Professional,iOS,6.2,3.1,6.5,13,1,7.2,7.2,4.2
247,22,Female,Professional,Android,8.3,2.3,6.1,30,5,6,4.1,6.3
248,54,Male,Student,Android,5,1.5,7.1,29,4,7.8,7.7,2.4
249,49,Male,Student,Android,7.7,2.1,7.5,33,3,8.2,4.8,7
250,26,Female,Student,Android,6.1,2.2,6.7,8,1,5.7,6,4.5
251,58,Female,Freelancer,Android,3.4,1.9,6.7,8,3,4.2,9.1,3.4
252,52,Female,Professional,iOS,5,2.8,5.2,11,1,4.7,8.3,4.5
253,36,Female,Freelancer,Android,6.5,3,3.8,27,1,5.7,7.9,4.4
254,33,Other,Student,Android,6.8,2.8,8,28,1,4.6,7.8,3.8
255,20,Female,Freelancer,Android,5.9,4.4,7.7,30,3,6.3,5.9,4.4
256,37,Female,Student,iOS,7.5,1.4,6.9,13,2,7,7,4.6
257,41,Female,Freelancer,Android,5.6,2.8,6.6,32,3,8.4,7.1,4.1
258,50,Female,Freelancer,Android,6.2,4.8,6.3,6,3,7.2,7.7,5.8
259,41,Female,Student,Android,5.1,3.3,5.7,24,2,6.5,8.4,4.4
260,28,Female,Student,Android,2.9,1.2,6.6,12,4,6.1,10,1
261,25,Male,Student,iOS,2.4,2.7,7.3,13,2,7.6,10,1
262,53,Female,Freelancer,Android,3.5,2.3,7.6,22,3,8.8,8.5,1.3
263,55,Female,Student,Android,7.5,3.1,7.5,24,0,3.6,6.3,4.7
264,57,Female,Student,Android,7,2.1,8.6,10,2,8.7,6.2,5
265,37,Male,Business Owner,Android,7.7,2.1,7.8,33,0,5.9,5,5
266,52,Male,Professional,Android,6,0.8,6.7,19,1,7.1,8.8,4.6
267,42,Male,Freelancer,iOS,6.4,3.8,6,18,0,7.2,6.5,5.2
268,52,Female,Professional,Android,7.1,4,6.6,26,2,7.9,6.3,3.8
269,42,Female,Professional,Android,6,0.2,5.5,25,3,4,7.2,5
270,46,Male,Freelancer,Android,5.3,4,7.9,25,0,6.9,9.4,5.2
271,35,Female,Professional,Android,3.9,2.1,4.7,12,1,8.9,9.3,3
272,35,Male,Professional,Android,5,2.4,8.2,21,4,5.6,7.1,3.7
273,19,Male,Student,iOS,7.6,2.3,6.5,19,0,5.2,6.2,6.7
274,52,Female,Business Owner,Android,6.8,3,6.5,38,4,8.1,7.9,6.2
275,33,Female,Freelancer,Android,6.2,2.4,6.4,19,1,8.4,4.8,4.6
276,58,Female,Student,iOS,4.3,2.7,7.5,39,4,4.4,7.3,3.4
277,53,Male,Student,Android,3.6,2.4,5.5,23,2,5.2,10,3.6
278,50,Female,Professional,Android,8.6,2.9,9.3,19,5,6.7,4.8,5
279,21,Female,Student,iOS,3.9,3.1,7.7,30,3,7.7,10,1
280,50,Male,Student,iOS,5.8,1.4,6.5,39,1,6,7.3,4
281,31,Other,Professional,Android,8.8,3.1,6,33,3,6.1,5.4,6.7
282,38,Female,Student,iOS,4.6,3.8,7.6,34,4,8.7,9.1,2.7
283,37,Male,Freelancer,Android,3.9,0.5,6.5,26,2,5.7,8,4.6
284,25,Female,Freelancer,Android,8.4,3,7.6,24,2,9.4,5.8,3.2
285,24,Male,Business Owner,Android,6.3,3.4,6.1,35,2,9.8,7.1,5.7
286,20,Female,Student,Android,7.6,2.5,8.9,15,3,9.2,7.5,3.3
287,34,Female,Student,Android,6.7,2.2,5.5,21,0,3.8,7.4,2.2
288,50,Male,Professional,Android,6.6,4,6.3,25,0,8.3,5.8,5.4
289,29,Female,Freelancer,Android,1.5,4.3,4.6,12,2,2.1,10,3.7
290,39,Female,Student,Android,4.7,1.6,5.2,37,2,3.5,8.6,4.3
291,39,Other,Student,iOS,1.6,1,9.5,18,2,9,10,1
292,47,Male,Professional,Android,7.4,2.1,7.2,16,2,4.1,7,3.9
293,55,Female,Professional,iOS,7.1,1,6,28,2,8.2,3.8,6.1
294,55,Female,Professional,Android,4.1,1.6,7.7,24,2,3,8.6,3.6
295,25,Male,Professional,iOS,3.1,3.5,7.7,35,2,5.1,9.9,2.8
296,44,Male,Professional,Android,5.8,2.1,7.5,16,2,8.2,10,3.6
297,44,Female,Professional,iOS,5.3,3.5,5.9,25,2,9.2,10,3.3
298,51,Female,Professional,Android,4.1,2.5,8.5,7,1,7.5,10,1
299,38,Male,Professional,Android,4.6,1.9,7.6,31,1,8.6,10,2.7
300,47,Female,Student,Android,6.4,3,4.1,30,3,7.7,6.7,4.9
301,50,Male,Freelancer,iOS,9.7,4.1,6.8,6,3,7.5,5,8.1
302,45,Male,Professional,Android,5.6,2.1,6.6,23,0,10.6,8.5,3.8
303,50,Female,Student,Android,7.7,2.5,6.8,39,3,5.2,6.3,4.3
304,22,Female,Professional,iOS,4.3,2.1,5.6,7,1,8.5,8.8,3.4
305,36,Male,Student,Android,6.3,2.3,7.6,21,1,5.9,7,4.5
306,21,Female,Student,Android,7.6,1.9,6.9,31,1,4.2,4.3,6.6
307,52,Female,Student,Android,5.7,3.7,7.4,11,0,8.5,5.6,4.4
308,34,Female,Professional,Android,11.9,1.2,6.5,34,1,7.7,3.9,7.4
309,45,Female,Business Owner,Android,4.8,4,5.9,19,1,5.8,6.3,5.6
310,47,Male,Professional,Android,7.6,2.7,6.7,36,1,6.6,5.9,3.6
311,46,Female,Professional,Android,8.5,2.1,7.1,30,0,7.8,5.3,6.4
312,23,Male,Professional,Android,8.2,1.4,9.9,22,0,6.9,4.9,4.7
313,52,Other,Business Owner,Android,5,3,9.2,25,1,7.7,9.9,2.6
314,58,Male,Student,iOS,7.7,0.6,6.5,15,4,7.1,5.1,5.5
315,54,Male,Professional,Android,3.3,2.1,5.9,27,3,5.8,8.7,2.4
316,41,Male,Student,Android,6.6,1.2,6.6,34,5,4.7,7.1,4.7
317,46,Female,Student,iOS,2.5,1.3,6.8,23,2,8.9,8.1,3.1
318,48,Male,Student,Android,5.3,2,8.2,27,2,2.6,8.7,1.8
319,52,Female,Student,Android,5.8,2,5.2,22,3,3.6,8.7,4
320,50,Female,Freelancer,Android,9.3,2.2,6.3,9,4,7.1,4.3,8.4
321,38,Male,Professional,Android,5.1,3.7,6.8,33,2,8.1,7.5,4.8
322,49,Male,Student,iOS,5.9,1.2,7.5,39,2,7.7,6.6,3.2
323,40,Female,Student,Android,6.7,1.7,9.2,16,0,9.2,7.8,3.8
324,50,Male,Professional,iOS,6.8,1.7,7,30,4,7.1,5.9,5.2
325,20,Male,Freelancer,iOS,9,2.4,7.4,21,4,4.7,4.2,6.3
326,35,Male,Professional,Android,4.7,2.3,5.7,37,3,5.6,7.4,5.3
327,42,Male,Student,iOS,5.6,3.6,7,27,1,5.9,5.5,5.4
328,59,Male,Freelancer,Android,8.7,1.4,7.8,6,2,8.7,6.1,5.4
329,48,Female,Freelancer,iOS,4.4,1.2,7.1,32,3,7.7,9.7,1.5
330,20,Female,Student,iOS,9.4,0.7,4.1,32,2,7.6,4.5,8.6
331,57,Female,Freelancer,Android,5.9,5.1,8,17,0,7.5,6.2,4.1
332,41,Male,Student,Android,3.9,2.2,8.4,9,2,7.5,8.7,2
333,49,Female,Student,Android,8,2.7,4.3,23,3,8.4,5.5,6.9
334,39,Male,Professional,Android,5.3,0.7,5.8,13,2,5.6,8.2,4.9
335,40,Female,Professional,Android,7.4,1.4,8.3,29,2,5.8,6,6.2
336,19,Female,Professional,iOS,4,3.1,8.4,32,0,5,8.5,2.2
